,DS_PS_in(%),VS_PS_in(%),DS_WS_in(%),VS_WS_in(%),DS_Digester(%),DS_eff(%),VS_eff(%),ALK(mg CaCO3/L),FA(mg/L),pH,T(°C),Q_PS/Q_WS,Q_PS_in(m³/d),Q_WS_in(m³/d),Q_Total(m³/d),Q_eff(m³/d),Q_Biogas(Nm³/d),Pre_DS_eff(%)
2014-02-11,4.685,73.847,6.17,76.02,3.498,3.4,63.74,14753.833333333334,1236.4,7.236,40.12,1.3636363636363635,1080.0,792.0,1872.0,1272.0,52632.0,3.4354596
2014-02-12,5.1075,74.531,5.9075,76.685,3.471,3.4124999999999996,63.675,14518.733333333334,1220.6,7.234999999999999,39.95,1.2512626262626263,1032.0,828.0,1860.0,1500.0,51348.0,3.440648
2014-02-13,5.53,75.215,5.645,77.35,3.444,3.425,63.61,14283.633333333331,1204.8,7.234,39.78,1.1388888888888888,984.0,864.0,1848.0,1728.0,50064.0,3.4270637
2014-02-14,5.404999999999999,63.59,6.109999999999999,78.096,3.4122,3.425,63.36,12347.93333333333,938.0,7.236,40.06,0.84,1008.0,1200.0,2208.0,1848.0,36912.0,3.3795364
2014-02-15,4.98,73.364,5.635,77.716,3.432,3.44,63.18,16314.0,1128.0,7.221999999999999,39.940000000000005,1.0465116279069768,1080.0,1032.0,2112.0,1512.0,41136.0,3.4374132
2014-02-16,4.705,75.25,5.66,78.27,3.44,3.375,63.54,14937.566666666666,1215.2,7.228,40.0,0.9555555555555556,1032.0,1080.0,2112.0,1584.0,44568.0,3.4374132
2014-02-17,5.065,74.087,4.655,77.455,3.406,3.4,62.64,16362.0,864.0,7.232000000000001,39.99999999999999,0.9574468085106383,1080.0,1128.0,2208.0,1584.0,57480.0,3.2955601
2014-02-18,4.932500000000001,74.087,5.0975,77.65350000000001,3.486,3.4325,63.015,16190.1,1065.8,7.250000000000001,40.239999999999995,0.9787234042553192,1068.0,1092.0,2160.0,1572.0,57828.0,3.3897262
2014-02-19,4.800000000000001,74.087,5.54,77.852,3.5660000000000003,3.465,63.39,16018.2,1267.6,7.268000000000001,40.48,1.0,1056.0,1056.0,2112.0,1560.0,58176.0,3.4503205
2014-02-20,4.675,74.91,5.46,79.11,3.56,3.345,63.72,14753.833333333334,1236.4,7.268000000000001,40.260000000000005,0.9782608695652174,1080.0,1104.0,2184.0,1560.0,53712.0,3.4231832
2014-02-21,6.845000000000001,72.646,5.62,77.659,3.5460000000000003,3.38,63.3,14283.633333333335,1204.8,7.254,40.3,0.9166666666666666,1056.0,1152.0,2208.0,1680.0,50640.0,3.4119482
2014-02-22,6.835,71.748,5.845,77.693,3.496,3.405,63.4,17608.0,912.0,7.252,40.08,0.8979591836734694,1056.0,1176.0,2232.0,1632.0,46320.0,3.4045305
2014-02-23,5.67,66.28,5.695,78.29,3.496,3.395,63.23,15057.633333333335,1234.4,7.239999999999999,40.38,0.8979591836734694,1056.0,1176.0,2232.0,1656.0,45288.0,3.4494061
2014-02-24,5.25,71.748,5.54,77.693,3.566,3.455,62.74,15306.0,1296.0,7.245999999999999,40.24,1.0,1056.0,1056.0,2112.0,1536.0,47280.0,3.4503205
2014-02-25,4.87,72.67,5.265000000000001,77.69,3.546,3.415,63.43,13941.733333333332,1122.0666666666666,7.278,40.3,1.0227272727272727,1080.0,1056.0,2136.0,1584.0,39720.0,3.4242556
2014-02-26,4.72,74.16499999999999,5.29,78.15799999999999,3.4900000000000007,3.4450000000000003,61.79,14074.066666666666,1150.0666666666666,7.284000000000001,40.28,1.0227272727272727,1080.0,1056.0,2136.0,1560.0,38808.0,3.4242556
2014-02-27,5.09,68.97,5.475,78.1,3.486,3.435,63.78,12638.433333333334,950.0,7.287999999999999,40.260000000000005,1.0465116279069768,1080.0,1032.0,2112.0,1560.0,37392.0,3.4337537
2014-02-28,4.865,73.752,5.2,77.66799999999999,3.4760000000000004,3.45,63.77,14778.833333333334,1228.8,7.287999999999999,40.06,1.0,1080.0,1080.0,2160.0,1512.0,45984.0,3.39609
